0000000387480000000000000000001108720000009299520000000580000000000000000000038748PAID IN FULL   0000
0000001511860000000000060000007266290000054426960000001510000000000000000000151186DELINQUENT     0000
0000000829490000000000000000073666430000199077600000000414000000044401000000127350PAID IN FULL   0000
0000000461970000023045010000000408480000000461970000000922000000000000000000046197CURRENT        0000
0000000886650000000000090000056720750000159597000000000442000000065097000000153762CURRENT        0000
0000000938730000000000000000154137150000337942800000000468000000075109000000168982PAID IN FULL   0000
0000000287420000000000090000002337440000013796160000000430000000000000000000028742LATE           0000
0000000840430000000000000000013531040000060510960000000840000000000000000000084043PAID IN FULL   0000
0000000339780000000000240000005567050000024464160000000338000000000000000000033978CURRENT        0000
0000001634120000000000000000166316540000392188800000000816000000053611000000217023PAID IN FULL   0000
0000003575050000000000270000206841530000643509000000001786000000124470000000481975CURRENT        0000
0000000402090000019982060000000279560000000402090000000804000000000000000000040209CURRENT        0000
0000000236030000011786990000000221350000000236030000000472000000000000000000023603CURRENT        0000
0000000451700000000000020000002212130000021681600000000450000000000000000000045170CURRENT        0000
0000000738380000000004450000144152780000265816800000000368000000093263000000167101CURRENT        0000
0000000050820000002531050000000040380000000050820000000100000000000000000000005082LATE           0000
0000001123990000000001010000078139380000269757600000000560000000122547000000234946CURRENT        0000
0000002987160000000000000000603807570001075377600000001492000000089113000000387829PAID IN FULL   0000
0000001824550000000000000000090835400000328419000000000912000000102288000000284743PAID IN FULL   0000
0000000365250000018202280000000304950000000365250000000730000000000000000000036525LATE           0000
0000000754110000000000170000004068500000036197280000000754000000000000000000075411CURRENT        0000
0000000090730000004504180000000058410000000090730000000180000000000000000000009073CURRENT        0000
0000001456900000000000000000085604740000262242000000000728000000098383000000244073PAID IN FULL   0000
0000000121440000000000000000001560570000007286400000000182000000000000000000012144PAID IN FULL   0000
0000001124440000000000100000005108560000040479840000001124000000000000000000112444CURRENT        0000
0000000248950000012451830000000253270000000248950000000496000000000000000000024895LATE           0000
0000000137110000006841630000000123110000000137110000000274000000000000000000013711CURRENT        0000
0000000180890000009038290000000174660000000180890000000360000000000000000000018089LATE           0000
0000000724550000000000000000004789850000026083800000001086000000000000000000072455PAID IN FULL   0000
0000001079020000000000000000059446840000194223600000000538000000033428000000141330PAID IN FULL   0000
0000001558420000000001730000156751220000374020800000000778000000097605000000253447CURRENT        0000
0000003710120000000000120000207976090000667821600000001854000000084709000000455721CURRENT        0000
0000000869640000000000000000002552680000020871360000001304000000000000000000086964PAID IN FULL   0000
0000000347670000000000240000002213670000016688160000000520000000000000000000034767CURRENT        0000
0000000736970000000000250000005482120000044218200000000736000000000000000000073697CURRENT        0000
0000000071160000003543990000000057050000000071160000000142000000000000000000007116CURRENT        0000
0000000511810000000000000000001319810000012283440000000766000000000000000000051181PAID IN FULL   0000
0000000306350000015246830000000235470000000306350000000612000000000000000000030635CURRENT        0000
0000000184910000000000000000001173150000008875680000000276000000000000000000018491PAID IN FULL   0000
0000000522920000000000320000006615000000025100160000000784000000000000000000052292CURRENT        0000
0000000033240000001662080000000032910000000033240000000066000000000000000000003324CURRENT        0000
0000000174670000008700560000000141250000000174670000000348000000000000000000017467LATE           0000
0000002971740000000000000000155656120000534913200000001484000000065436000000362610PAID IN FULL   0000
0000000440140000000000000000004039170000021126720000000660000000000000000000044014PAID IN FULL   0000
0000003320540000000000000000329530860000796929600000001660000000124316000000456370PAID IN FULL   0000
0000001457100000000001660000239653580000524556000000000728000000112201000000257911CURRENT        0000
0000000279270000013874910000000190530000000279270000000558000000000000000000027927CURRENT        0000
0000000206940000010336130000000195630000000206940000000412000000000000000000020694CURRENT        0000
0000002081650000000000110000143825390000499596000000001040000000101620000000309785CURRENT        0000
0000002465210000000000000000185316170000591650400000001232000000097695000000344216PAID IN FULL   0000
0000000584250000000000260000005361540000028044000000000876000000000000000000058425CURRENT        0000
0000000163850000000000320000002691000000009831000000000244000000000000000000016385CURRENT        0000
0000002594870000000001020000250085670000622768800000001296000000072034000000331521CURRENT        0000
0000000247850000000000000000001755900000008922600000000370000000000000000000024785PAID IN FULL   0000
0000002226530000000000840000096965720000400775400000001112000000099883000000322536CURRENT        0000
0000000436730000000000000000001859180000020963040000000436000000000000000000043673PAID IN FULL   0000
0000004419290000000000620000301384210000795472200000002208000000064490000000506419CURRENT        0000
0000000987750000000000000000159806080000355590000000000492000000049951000000148726PAID IN FULL   0000
0000001071120000000000120000006243070000051413760000001070000000000000000000107112CURRENT        0000
0000001122010000000000200000003384060000040392360000001122000000000000000000112201CURRENT        0000
0000000417780000000000000000005932610000030080160000000416000000000000000000041778PAID IN FULL   0000
0000000339450000000000000000004865520000020367000000000508000000000000000000033945PAID IN FULL   0000
0000000988550000000000140000003486940000035587800000000988000000000000000000098855LATE           0000
0000000529310000000000000000002839500000025406880000000528000000000000000000052931PAID IN FULL   0000
0000000471370000023524800000000427440000000471370000000942000000000000000000047137CURRENT        0000
0000003785930000000000450000258258950000681467400000001892000000125800000000504393LATE           0000
0000000421140000020993830000000357480000000421140000000842000000000000000000042114CURRENT        0000
0000001192530000000000000000217918540000429310800000000596000000078432000000197685PAID IN FULL   0000
0000000274940000013707980000000235750000000274940000000548000000000000000000027494CURRENT        0000
0000000919110000000000000000007581630000044117280000000918000000000000000000091911PAID IN FULL   0000
0000002306240000000001000000125935020000415123200000001152000000079710000000310334CURRENT        0000
0000003734240000000002180000414693410000896217600000001866000000049769000000423193CURRENT        0000
0000003142300000000001000000260029460000754152000000001570000000119267000000433497DELINQUENT     0000
0000000933730000000000130000002369360000033614280000000932000000000000000000093373CURRENT        0000
0000000711500000000000000000002159540000017076000000001066000000000000000000071150PAID IN FULL   0000
0000000218400000000000150000001514480000013104000000000218000000000000000000021840CURRENT        0000
0000000407120000020319930000000370790000000407120000000814000000000000000000040712LATE           0000
0000000364370000000000000000003014580000017489760000000364000000000000000000036437PAID IN FULL   0000
0000000878330000000000220000008583510000052699800000000878000000000000000000087833CURRENT        0000
0000000358930000000000040000002751080000017228640000000538000000000000000000035893CURRENT        0000
0000000806860000000000000000009418100000058093920000000806000000000000000000080686PAID IN FULL   0000
0000000800760000000000000000008462390000057654720000000800000000000000000000080076PAID IN FULL   0000
0000000218930000010921830000000194180000000218930000000436000000000000000000021893CURRENT        0000
0000000287550000014379710000000289520000000287550000000574000000000000000000028755CURRENT        0000
0000000340100000016923970000000258640000000340100000000680000000000000000000034010CURRENT        0000
0000000916210000000000000000006084630000054972600000000916000000000000000000091621PAID IN FULL   0000
0000000134830000006716000000000108930000000134830000000268000000000000000000013483CURRENT        0000
0000000655010000000000000000007639950000031440480000000982000000000000000000065501PAID IN FULL   0000
0000001109420000000000000000005472010000039939120000001108000000000000000000110942PAID IN FULL   0000
0000000379480000000000140000001223120000013661280000000378000000000000000000037948LATE           0000
0000001097780000000000000000002174180000026346720000001646000000000000000000109778PAID IN FULL   0000
0000000600440000000000000000001689120000021615840000000600000000000000000000060044PAID IN FULL   0000
0000002701560000000000000000208895610000648374400000001350000000040199000000310355PAID IN FULL   0000
0000000247880000000000240000001942610000014872800000000246000000000000000000024788LATE           0000
0000001654280000000000000000270991490000595540800000000826000000067487000000232915PAID IN FULL   0000
0000002975570000000000640000175649460000535602600000001486000000045988000000343545LATE           0000
0000000451760000022454290000000317940000000451760000000902000000000000000000045176CURRENT        0000
0000000420180000020904860000000315640000000420180000000840000000000000000000042018CURRENT        0000
0000000361850000000000000000001136780000008684400000000542000000000000000000036185PAID IN FULL   0000
0000000190430000000000130000001178060000006855480000000284000000000000000000019043CURRENT        0000
