                                    5.49                              0.00001278                                    5.49                                  5.4968                                       0                                       0
                                    2.64                              0.00001600                                    2.64                                  2.6455                                       0                                       0
                                       0                                       0                                       0                                       0                                       0                                  0.0015
                                       0                                       0                                       0                                       0                                       0                                  0.0015
                                       0                                       0                                       0                                       0                                       0                                  0.0015
                                    4.05                              0.00003015                                    4.05                                  4.0532                                       0                                       0
                                    4.49                              0.00001592                                    4.49                                  4.4979                                       0                                       0
                                    0.16                              0.00003138                                    0.16                                  0.1682                                       0                                       0
                                    4.02                              0.00001757                                    4.02                                  4.0294                                       0                                       0
                                    2.84                              0.00001252                                    2.84                                  2.8405                                       0                                       0
                                    4.70                              0.00001947                                    4.70                                  4.7099                                       0                                       0
                                    0.92                              0.00003055                                    0.92                                  0.9213                                       0                                       0
                                    3.02                              0.00001185                                    3.02                                  3.0221                                       0                                       0
                                   11.56                              0.00002735                                   11.56                                 11.5655                                       0                                       0
                                    5.48                              0.00001158                                    5.48                                  5.4869                                       0                                       0
                                    2.31                              0.00001188                                    2.31                                  2.3190                                       0                                       0
                                    4.49                              0.00001757                                    4.49                                  4.4996                                       0                                       0
                                    3.50                              0.00001426                                    3.50                                  3.5056                                       0                                       0
                                    7.77                              0.00001725                                    7.77                                  7.7753                                       0                                       0
                                    5.07                              0.00001164                                    5.07                                  5.0737                                       0                                       0
                                       0                                       0                                       0                                       0                                       0                                  0.0015
                                    4.43                              0.00001734                                    4.43                                  4.4329                                       0                                       0
                                    4.34                              0.00002925                                    4.34                                  4.3401                                       0                                       0
                                    0.62                              0.00001616                                    0.62                                  0.6227                                       0                                       0
                                    4.66                              0.00001727                                    4.66                                  4.6666                                       0                                       0
                                   11.52                              0.00003021                                   11.52                                 11.5289                                       0                                       0
                                    7.03                              0.00002095                                    7.03                                  7.0397                                       0                                       0
                                    2.43                              0.00001360                                    2.43                                  2.4311                                       0                                       0
                                    6.21                              0.00001713                                    6.21                                  6.2130                                       0                                       0
                                    8.26                              0.00002106                                    8.26                                  8.2682                                       0                                       0
                                       0                                       0                                       0                                       0                                       0                                  0.0015
                                    0.41                              0.00001273                                    0.41                                  0.4152                                       0                                       0
                                       0                                       0                                       0                                       0                                       0                                  0.0015
                                    6.86                              0.00002670                                    6.86                                  6.8645                                       0                                       0
                                    3.68                              0.00000991                                    3.68                                  3.6891                                       0                                       0
                                   11.46                              0.00002501                                   11.46                                 11.4667                                       0                                       0
                                    2.93                              0.00001279                                    2.93                                  2.9325                                       0                                       0
                                    2.95                              0.00000968                                    2.95                                  2.9571                                       0                                       0
                                    2.92                              0.00002417                                    2.92                                  2.9219                                       0                                       0
                                    5.62                              0.00002794                                    5.62                                  5.6238                                       0                                       0
                                    2.10                              0.00002033                                    2.10                                  2.1055                                       0                                       0
                                    3.42                              0.00000960                                    3.42                                  3.4263                                       0                                       0
                                    0.18                              0.00001280                                    0.18                                  0.1801                                       0                                       0
                                    3.41                              0.00001646                                    3.41                                  3.4132                                       0                                       0
                                    4.52                              0.00001185                                    4.52                                  4.5236                                       0                                       0
                                    1.49                              0.00003143                                    1.49                                  1.4912                                       0                                       0
                                    2.48                              0.00002854                                    2.48                                  2.4876                                       0                                       0
                                    1.92                              0.00001720                                    1.92                                  1.9232                                       0                                       0
                                    4.46                              0.00001567                                    4.46                                  4.4653                                       0                                       0
                                    7.12                              0.00001536                                    7.12                                  7.1264                                       0                                       0
                                   12.76                              0.00002825                                   12.76                                 12.7622                                       0                                       0
                                    7.85                              0.00002255                                    7.85                                  7.8550                                       0                                       0
                                    0.84                              0.00001930                                    0.84                                  0.8485                                       0                                       0
                                       0                                       0                                       0                                       0                                       0                                  0.0015
                                   13.19                              0.00002772                                   13.19                                 13.1953                                       0                                       0
                                    0.42                              0.00001908                                    0.42                                  0.4213                                       0                                       0
                                    5.41                              0.00002880                                    5.41                                  5.4110                                       0                                       0
                                    2.72                              0.00003036                                    2.72                                  2.7261                                       0                                       0
                                    5.27                              0.00003212                                    5.27                                  5.2700                                       0                                       0
                                    1.58                              0.00001229                                    1.58                                  1.5827                                       0                                       0
                                    5.19                              0.00002175                                    5.19                                  5.1931                                       0                                       0
                                    5.46                              0.00001114                                    5.46                                  5.4616                                       0                                       0
                                    5.39                              0.00001241                                    5.39                                  5.3939                                       0                                       0
                                    7.45                              0.00003258                                    7.45                                  7.4511                                       0                                       0
                                       0                                       0                                       0                                       0                                       0                                  0.0015
                                    2.18                              0.00001759                                    2.18                                  2.1835                                       0                                       0
                                       0                                       0                                       0                                       0                                       0                                  0.0015
                                   11.01                              0.00002511                                   11.01                                 11.0144                                       0                                       0
                                    2.29                              0.00001436                                    2.29                                  2.2923                                       0                                       0
                                       0                                       0                                       0                                       0                                       0                                  0.0015
                                    0.05                              0.00002080                                    0.05                                  0.0508                                       0                                       0
                                    5.44                              0.00001778                                    5.44                                  5.4469                                       0                                       0
                                   15.76                              0.00003209                                   15.76                                 15.7636                                       0                                       0
                                    4.59                              0.00001403                                    4.59                                  4.5962                                       0                                       0
                                       0                                       0                                       0                                       0                                       0                                  0.0015
                                    2.37                              0.00001123                                    2.37                                  2.3746                                       0                                       0
                                       0                                       0                                       0                                       0                                       0                                  0.0015
                                       0                                       0                                       0                                       0                                       0                                  0.0015
                                    1.35                              0.00002898                                    1.35                                  1.3506                                       0                                       0
                                    6.38                              0.00001666                                    6.38                                  6.3858                                       0                                       0
                                    4.97                              0.00001194                                    4.97                                  4.9749                                       0                                       0
                                    9.35                              0.00002460                                    9.35                                  9.3558                                       0                                       0
                                    3.98                              0.00002883                                    3.98                                  3.9807                                       0                                       0
                                    3.75                              0.00002095                                    3.75                                  3.7553                                       0                                       0
                                    4.59                              0.00002272                                    4.59                                  4.5968                                       0                                       0
                                    0.48                              0.00000985                                    0.48                                  0.4893                                       0                                       0
                                    4.72                              0.00001246                                    4.72                                  4.7200                                       0                                       0
                                    5.85                              0.00001720                                    5.85                                  5.8564                                       0                                       0
                                    0.78                              0.00001660                                    0.78                                  0.7829                                       0                                       0
                                    7.43                              0.00002519                                    7.43                                  7.4325                                       0                                       0
                                   10.90                              0.00002478                                   10.90                                 10.9001                                       0                                       0
                                       0                                       0                                       0                                       0                                       0                                  0.0015
                                    1.56                              0.00001718                                    1.56                                  1.5654                                       0                                       0
                                   12.72                              0.00002548                                   12.72                                 12.7203                                       0                                       0
                                    6.36                              0.00001564                                    6.36                                  6.3638                                       0                                       0
                                   12.85                              0.00002780                                   12.85                                 12.8539                                       0                                       0
                                    1.87                              0.00001104                                    1.87                                  1.8715                                       0                                       0
                                    2.02                              0.00001085                                    2.02                                  2.0254                                       0                                       0
                                       0                                       0                                       0                                       0                                       0                                  0.0015
                                    7.56                              0.00002543                                    7.56                                  7.5656                                       0                                       0
