C      680.24 4  0
P   158343.6710 85
S    72080.65 4  0
C    48336.33 1  0
C    10030.91 6278
S   277516.95 1  0
X    24154.26 5  0
B    84103.77 2239
P   578111.66 2  0
P    15901.13 4  0
P      916.13 3  0
C    24360.16 4  0
P     2346.38 6175
B    21939.27 7  0
S      988.23 9  0
C    55366.47 4  0
C   173584.29 3  0
C      750.0910  0
X   107704.7911  0
C    15267.99 2  0
S   276757.40 9  0
S    95604.3511  0
S    23244.64 1  0
S    13898.07 4326
B      818.49 2  0
S    71120.87 3  0
C    23619.7112  0
S    56324.79 8  0
S      513.7810  0
S   139509.52 4189
B      655.97 5  0
S   691610.2710  0
P     5065.5711  0
C   166047.12 1  0
B     8977.93 9  0
S     4161.87 8  0
S    70347.81 1  0
P    21369.26 8  0
S    17375.47 5  0
S    86279.23 9  0
S     3452.9610110
S    67182.15 9  0
S     3850.4811  0
B    73563.2610201
C    68854.20 6  0
P    17600.46 3  0
S   148682.87 1  0
X      639.69 9  0
B   347985.44 5  0
P    92704.4611  0
C   534757.87 3  0
P    12817.7110  0
P   439174.28 8  0
S    94570.77 5266
P    46974.41 3  0
C      549.3112  0
P    37423.01 7259
S   513386.50 6  0
S   372715.2510  0
S     8426.11 7266
P    81195.8912  0
P      525.37 8  0
C    10546.04 4230
S     3911.71 5  0
P   322230.92 1247
S   589075.74 1292
S   392858.9810  0
B     2861.7012  0
P    87239.2912  0
S    52699.1910  0
P    13972.3311  0
S      775.5411  0
B    50245.51 7103
S   316257.80 8  0
C   213877.9711312
P    32833.89 4  0
S      660.46 8  0
C   486326.21 4  0
S      950.64 1  0
B   246861.81 3  0
C    96163.62 2  0
P   699800.65 6  0
C   438750.90 7  0
B   418548.63 8  0
C   449838.39 8  0
S    12396.55 6  0
S     7409.1112  0
S    30223.23 4  0
P   506553.8410120
S    18575.02 9  0
C    10203.21 5116
P   210759.65 8  0
C   698606.2610139
S    29218.19 5  0
S   354427.30 5  0
S      512.7012  0
S    90534.5811188
B     1854.7910  0
P    43284.20 8  0
S    87740.5612222
